Campus,Department,Study Language,Study Method,Duration,Entry Requirements,English Level,Course Fees,Location,Career Opportunities,Course,URL
NIBM,School of Computing ,English,Full Time / Part Time,4 Years,"A/L Option: Minimum 2 passes at G.C.E A/L in Mathematics/Science Streams & Technology stream with ICT.

O/L Option: Sat for G.C.E A/L in Mathematics/Science Streams & Technology stream with ICT AND passed G.C.E O/L including “B” passes for Mathematics and Science/ICT and a “C” pass for English.

NIBM Option: Successfully completed a certificate programme specialized in Network Engineering at NIBM.",Intermediate,"Rs.2,370,000.00",Colombo,"Cybersecurity Administrator, Cybersecurity Engineer, Network Security Engineer, IT Security Specialist, Information Security Specialist, Digital Forensics Analyst",BSc (Hons) in Ethical Hacking and Network Security,https://www.nibm.lk/course/bsc-hons-ethical-hacking-and-network-security
NIBM,School of Computing ,English,Full Time / Part Time,4 Years,"A/L Option: Minimum 2 passes at G.C.E A/L examination in any stream.

O/L Option: Sat for G.C.E. A/L in any stream and passed G.C.E. O/L with minimum 5 credits including a credit for Mathematics and English.

NIBM Option: Successfully completed a certificate program specialized in Computer Science at NIBM.",Intermediate,"Rs.2,370,000.00",Colombo,"Business Analyst, IT Consultant, Project Coordinator, Systems Analyst,Business Systems Developer, IT Manager, Data Analyst, IT Governance Officer",BSc (Hons) in Information Technology for Business,https://www.nibm.lk/course/bsc-hons-information-technology-for-business
NIBM,School of Computing ,English,Full Time ,4 Years,"Year 01 – Diploma in Computer Science with Artificial Intelligence: Minimum 3 passes at G.C.E A/L in any stream or successfully completed a Degree Foundation in Computer Science with Artificial Intelligence.

Year 02 – Higher National Diploma in Computer Science with Artificial Intelligence: Successfully completed a Diploma in Computer Science with Artificial Intelligence at NIBM or any other recognized institute.

Year 03 – BSc (Hons) in Computer Science with Artificial Intelligence: Successfully completed a Higher National Diploma in Computer Science with Artificial Intelligence at NIBM or any other recognized institute.",Intermediate,"Rs.2,370,000.00",Colombo,"Software Engineer, Mobile Application Developer, Robotics Engineer,UI/UX Engineer, Web Developer, Data Analyst, Cybersecurity Specialist, AI Engineer",BSc (Hons) in Computing (Software Engineering Pathway),https://www.nibm.lk/course/bsc-hons-computing
NIBM,School of Computing ,English,Part Time ,3 Years,"Year 01: Minimum 3 passes at G.C.E A/L in any stream,Successfully completed a Degree Foundation in Computer Science with Artificial Intelligence   

Year 02:Successfully completed a Diploma in Computer Science with Artificial Intelligence at NIBM or any other Recognized Institute

Year 03:Successfully completed a Higher National Diploma in Computer Science with Artificial Intelligence at NIBM or any other Recognized Institute",Intermediate,"Rs.1,820,000.00",Kandy,"AI Engineer, Machine Learning Engineer, Data Scientist,
 Software Engineer, Cloud Computing Specialist, Robotics Engineer, Cybersecurity Analyst, NLP Engineer, Computer Vision Specialist",BSc (Hons) in Computer Science with Artificial Intelligence,https://www.nibm.lk/course/bsc-hons-computerscience-with-ai
NIBM,School of Computing ,English,Part Time ,3 Years,"Sat for G.C.E. A/L in any stream and passed G.C.E. O/L with a minimum of 5 credits including a credit for Mathematics and English.

Or

Successfully completed a certificate course of NVQ Level 4 at NIBM (CAGD/CCA/CCS) or at any other institute accepted by the selection board.
",Intermediate,"Rs.1,765,000.00",Colombo / Kandy,"Graphic Designer, Multimedia Artist, Animator, Video Editor, UI/UX Designer, Creative Director, Web Designer, Visual Effects Artist, Advertising Specialist",BA (Hons) in Creative Multimedia,https://www.nibm.lk/course/ba-hons-creative-multimedia
NIBM,School of Computing ,English,Full Time ,3 Years,"Advanced Diploma in Advertising and Multimedia (Exit to Australia):
• G.C.E (A/L) in any stream with 2 passes in a single sitting or an equivalent qualification.
• Passed G.C.E (O/L) with 5 credits including Mathematics, ICT, and English.",Intermediate,"Rs.14,090,456.00",Colombo,"Advertising Executive, Multimedia Designer, Graphic Designer, Digital Content Creator, Video Producer, Scriptwriter, UI/UX Designer, Creative Director, Social Media Strategist",Bachelor of Communication (All majors),https://www.nibm.lk/course/ba-hons-professional-design-visual-communication
NIBM,School of Bussiness ,English,Full Time / Part Time,3 Years,"Full-Time Students:
• For entry into Year 1: Advanced National Diploma in Human Resource Management.
• Those who have sat for G.C.E (A/L) and qualified with minimum Three (03) simple passes are eligible for the first year of the degree program.
• Those without A/L passes must complete the Certificate Course in Business Management (CCBM).
• Those who have completed G.C.E (O/L) / Edexcel / Cambridge O/L must successfully complete the Foundation Programme for Bachelor’s Degree.

For entry into Year 2: Completion of Advanced National Diploma in Human Resource Management.
For entry into Year 3: Successful completion of Higher National Diploma in Human Resource Management.

Part-Time Students / Professionals:
• A/L qualified with 3 years’ work experience, or
• O/L qualified with 5 years’ work experience, or
• Completion of Advanced Certificate in Human Resource Management (ACHRM).",Intermediate,"Full-Time Path: Rs.710,000.00
Part-Time Path: 1,518,000.00",Colombo/Kandy,"Human Resource Manager, Recruitment Specialist, Training and Development Officer, Industrial Relations Executive, HR Consultant, Organizational Development Specialist, Compensation and Benefits Analyst, Employee Relations Manager",BA (Hons) in Human Resource Management,https://www.nibm.lk/course/ba-hons-human-resource-management
NIBM,School of Bussiness ,English,Full Time / Part Time,3 Years,"For entry into Year 1: Advanced Diploma in Business Management.
After A/L Students: Those who have sat for G.C.E (A/L) and qualified with minimum Three (03) simple passes are eligible for the first year of the degree program. Those without Three (03) simple passes must follow the Certificate in Business Management (CBM) during the first year. Those who have completed G.C.E (O/L) must complete the Foundation Course in Business Management before entering the first year.

For Professionals (ADBM): G.C.E (A/L) with 3 years’ work experience, or G.C.E (O/L) with 5 years’ work experience, or completion of the Advanced Certificate in Business Management (ACBM).

For entry into Year 2: Successful completion of the Advanced Diploma in Business Management (Full Time/Part Time).

For entry into Year 3: Successful completion of the Higher National Diploma in Business Management.",Intermediate,"Full-Time Path: Rs.1,568,000.00
Part-Time Path: 1518000.00",Colombo/Kandy,"Business Manager, Project Manager, Operations Manager, Management Consultant, Marketing Executive, Business Analyst, Human Resource Executive, Strategic Planner, Entrepreneur",BA (Hons) in Management and Leadership,https://www.nibm.lk/course/ba-hons-management-and-leadership
NIBM,School of Bussiness ,English,Full Time / Part Time,3 Years,"For entry into Year 1: Advanced Diploma in Financial Management and Accounting.

For after A/L students – Full-time path: Those who have sat for G.C.E (A/L) and qualified with minimum Three (03) simple passes are eligible for the first year. Those without Three (03) simple passes must complete the Certificate in Business Management (CBM) during the first year. Students who have completed G.C.E (O/L) must complete the Foundation Course in Business Management before entering the first year.

For professionals – Part-time path: G.C.E (A/L) with 3 years’ work experience, or G.C.E (O/L) with 5 years’ work experience, or completion of the Advanced Certificate in Financial & Management Accounting (ACFMA), or part qualification of professional programs such as AAT, CA, ACCA, CIMA, or CMA (subject to approval).

For entry into Year 2: Completion of the Advanced Diploma in Financial and Management Accounting.

For entry into Year 3: Completion of the Higher National Diploma in Professional Accounting.",Intermediate,"Full-Time Path: Rs.1,768,000.00
Part-Time Path: 1,768,000.00",Colombo/Kandy,"Accountant, Financial Analyst, Tax Consultant, Auditor, Budget Analyst, Finance Manager, Business Consultant, Cost Accountant, Corporate Finance Executive",BA (Hons) in Professional Accounting,https://www.nibm.lk/course/ba-hons-professional-accounting
NIBM,School of Bussiness ,English,Full Time / Part Time,3 Years,"For entry into Year 1: Advanced Diploma in Digital Banking and Finance.

For after A/L Students – Full-time path: GCE (A/L) with minimum three (03) simple passes, or GCE (A/L) without three passes must follow Certification in Business Management (CBM), or completion of GCE (O/L) with Foundation Course in Business Management.

For Professionals – Part-time path: GCE (A/L) with 3 years’ work experience, or GCE (O/L) with 5 years’ work experience, or completion of Advanced Certificate in Digital Banking and Finance, or part qualification of professional programs such as AAT, CA, ACCA, CIMA, CMA (approval by course director required).

For entry into Year 2: Completion of Advanced Diploma in Digital Banking and Finance, Diploma in Applied Banking and Finance (IBSL) with 5 years’ work experience, or Postgraduate Diploma in Bank Management (IBSL) with 3 years’ work experience (short course in Technology of Banking and Finance required).

For entry into Year 3: Completion of Higher National Diploma in Digital Banking and Finance.",Intermediate,"Full-Time Path: Rs.1,568,000.00
Part-Time Path: Rs.1,518,000.00",Colombo,"Banking Analyst, Financial Analyst, Investment Banking Associate, Risk and Compliance Officer, Corporate Banking Executive, FinTech Consultant, Treasury Analyst, Credit Risk Manager",BSc (Hons) in Digital Banking and Finance,https://www.nibm.lk/course/bsc-hons-in-digital-banking-and-finance
